date,series,nav_per_unit,units_outstanding,fund_value_aud,kind,note
2025-06-01,wealth_base,1.0,,,reconstructed,buy-and-hold of current Wealth Base basket; CRED held flat
2025-06-01,conviction,1.0,,,reconstructed,buy-and-hold of current Conviction basket
2025-06-01,total_fund,1.0,,,reconstructed,"Conviction+Tactical value-weighted (98%/2%), Tactical unlevered"
2025-06-01,benchmark,1.0,,,reconstructed,iShares MSCI ACWI ETF in AUD
2025-07-01,wealth_base,1.0229,,,reconstructed,
2025-07-01,conviction,1.1113,,,reconstructed,
2025-07-01,total_fund,1.1114,,,reconstructed,
2025-07-01,benchmark,1.024,,,reconstructed,
2025-08-01,wealth_base,1.0439,,,reconstructed,
2025-08-01,conviction,1.1502,,,reconstructed,
2025-08-01,total_fund,1.1499,,,reconstructed,
2025-08-01,benchmark,1.0383,,,reconstructed,
2025-09-01,wealth_base,1.078,,,reconstructed,
2025-09-01,conviction,1.1915,,,reconstructed,
2025-09-01,total_fund,1.1927,,,reconstructed,
2025-09-01,benchmark,1.0618,,,reconstructed,
2025-10-01,wealth_base,1.1047,,,reconstructed,
2025-10-01,conviction,1.1954,,,reconstructed,
2025-10-01,total_fund,1.1996,,,reconstructed,
2025-10-01,benchmark,1.0983,,,reconstructed,
2025-11-01,wealth_base,1.1067,,,reconstructed,
2025-11-01,conviction,1.0728,,,reconstructed,
2025-11-01,total_fund,1.0786,,,reconstructed,
2025-11-01,benchmark,1.1006,,,reconstructed,
2025-12-01,wealth_base,1.1029,,,reconstructed,
2025-12-01,conviction,1.0358,,,reconstructed,
2025-12-01,total_fund,1.0428,,,reconstructed,
2025-12-01,benchmark,1.075,,,reconstructed,
2026-01-01,wealth_base,1.1178,,,reconstructed,
2026-01-01,conviction,0.9951,,,reconstructed,
2026-01-01,total_fund,1.004,,,reconstructed,
2026-01-01,benchmark,1.0538,,,reconstructed,
2026-02-01,wealth_base,1.1077,,,reconstructed,
2026-02-01,conviction,0.8432,,,reconstructed,
2026-02-01,total_fund,0.8527,,,reconstructed,
2026-02-01,benchmark,1.0531,,,reconstructed,
2026-03-01,wealth_base,1.0505,,,reconstructed,
2026-03-01,conviction,0.8353,,,reconstructed,
2026-03-01,total_fund,0.844,,,reconstructed,
2026-03-01,benchmark,1.0201,,,reconstructed,
2026-04-01,wealth_base,1.1616,,,reconstructed,
2026-04-01,conviction,0.9706,,,reconstructed,
2026-04-01,total_fund,0.9818,,,reconstructed,
2026-04-01,benchmark,1.0765,,,reconstructed,
2026-05-01,wealth_base,1.2243,,,reconstructed,
2026-05-01,conviction,0.9665,,,reconstructed,
2026-05-01,total_fund,0.9785,,,reconstructed,
2026-05-01,benchmark,1.1226,,,reconstructed,
2026-06-01,wealth_base,1.2294,,,reconstructed,
2026-06-01,conviction,0.9352,,,reconstructed,
2026-06-01,total_fund,0.9479,,,reconstructed,
2026-06-01,benchmark,1.1311,,,reconstructed,
